date,ticker,open,high,low,close,volume
2026-04-09,GOOGL,315.9100036621094,319.5400085449219,311.05999755859375,318.489990234375,23739200
2026-04-10,GOOGL,320.0199890136719,321.8299865722656,316.32000732421875,317.239990234375,19152600
2026-04-13,GOOGL,317.1400146484375,321.6300048828125,315.4700012207031,321.30999755859375,18866400
2026-04-14,GOOGL,324.7900085449219,333.2900085449219,323.75,332.9100036621094,27721400
2026-04-15,GOOGL,332.8900146484375,337.4800109863281,330.8999938964844,337.1199951171875,24918800
2026-04-16,GOOGL,338.75,339.8800048828125,334.5199890136719,336.0199890136719,20541500
2026-04-17,GOOGL,337.6499938964844,342.32000732421875,336.239990234375,341.67999267578125,25581900
2026-04-20,GOOGL,340.760009765625,341.3999938964844,336.6099853515625,337.4200134277344,18784200
2026-04-21,GOOGL,337.69000244140625,339.3399963378906,331.3500061035156,332.2900085449219,23123800
2026-04-22,GOOGL,337.0199890136719,339.82000732421875,335.1700134277344,339.32000732421875,20293000
2026-04-23,GOOGL,341.17999267578125,341.9599914550781,336.17999267578125,338.8900146484375,18650300
2026-04-24,GOOGL,338.7300109863281,345.2699890136719,335.3900146484375,344.3999938964844,26426100
2026-04-27,GOOGL,345.9800109863281,353.17999267578125,342.7300109863281,350.3399963378906,28576900
2026-04-28,GOOGL,348.54998779296875,352.4200134277344,346.1199951171875,349.7799987792969,27824100
2026-04-29,GOOGL,347.57000732421875,355.7900085449219,344.2099914550781,349.94000244140625,35376300
2026-04-30,GOOGL,374.07000732421875,385.8399963378906,365.82000732421875,384.79998779296875,72040000
2026-05-01,GOOGL,381.6300048828125,386.760009765625,379.04998779296875,385.69000244140625,30105200
2026-05-04,GOOGL,385.6300048828125,387.3800048828125,379.7900085449219,383.25,26298600
2026-05-05,GOOGL,386.2300109863281,392.82000732421875,384.0199890136719,388.42999267578125,23878600
2026-05-06,GOOGL,394.25,399.8500061035156,392.760009765625,398.0400085449219,31308500
2026-05-07,GOOGL,399.9200134277344,400.1000061035156,392.67999267578125,397.989990234375,24433500
2026-05-08,GOOGL,397.0,402.0,396.3599853515625,400.79998779296875,21432500
2025-05-12,META,628.9577416253547,638.3983203620691,619.0985470240091,637.4412841796875,21965100
2025-05-13,META,643.5323193603671,658.8644917290795,640.8307865245315,653.98974609375,18570800
2025-05-14,META,659.1536090398383,660.6090293889421,652.2750442210183,657.309326171875,12348200
2025-05-15,META,652.2451822041022,655.2657270968772,636.5939979037247,641.8775024414062,14341800
2025-05-16,META,635.9759078924747,638.448175394899,624.2026405076157,638.3485107421875,18519000
2025-05-19,META,626.2961199602966,641.0002469311114,625.8475073073743,638.438232421875,9592400
2025-05-20,META,634.0320152877193,637.3615937967512,630.2936778074568,635.1185913085938,6743500
2025-05-21,META,629.8251366516639,644.5990543502297,628.2101796540182,633.5236206054688,11464600
2025-05-22,META,632.078027946325,641.2494271811771,628.7484497588706,634.5902099609375,8228400
2025-05-23,META,622.0593214688579,630.4830536161486,620.7135443903518,625.1098022460938,8454100
2025-05-27,META,633.4337833907804,641.0799727179783,630.7820830337338,640.3223266601562,9508400
2025-05-28,META,640.6014366817531,648.8557144048555,640.5516043549418,641.5784301757812,9042900
2025-05-29,META,649.6233331448041,651.2881222551338,637.5110964196524,643.0438232421875,8858800
2025-05-30,META,640.501786260345,647.3902689717587,630.8120452521741,645.4762573242188,16241000
2025-06-02,META,642.3859148545713,671.166122188044,642.256314296396,668.8134765625,15766300
2025-06-03,META,669.3617309927172,673.4788911194719,662.9617149147357,664.7760009765625,11585000
2025-06-04,META,667.238360939457,686.857147039673,666.4906935079915,685.8104248046875,14031900
2025-06-05,META,689.5088052796527,692.2203773049333,680.1280985848566,682.49072265625,13083100
2025-06-06,META,694.0048506531133,700.6242144400436,689.7182360915449,695.5401000976562,11728000
2025-06-09,META,696.2877682898165,702.9968181048444,691.7818062976731,691.9014282226562,12773200
2025-06-10,META,699.1687320280228,701.0428899746662,689.4092014623567,700.2155151367188,10850100
2025-06-11,META,701.5213833723484,706.6653082639799,689.8378026054309,691.9811401367188,9582500
2025-06-12,META,691.1438023170118,693.2173504861605,684.8634076906623,691.20361328125,7322700
2025-06-13,META,685.810495147385,692.4099021517203,678.8920760381308,680.7462768554688,9274400
2025-06-16,META,697.6914734952734,705.4931583928874,691.8851025594383,700.4749145507812,13720300
2025-06-17,META,700.3551564610796,704.3158251974513,694.4290719322615,695.5963134765625,10066100
2025-06-18,META,696.5441581244662,699.9462025997926,693.2718748228809,694.1398315429688,10068300
